,ID,Name,lon1,lat1,lon2,lat2
124,51497e69f6e55b354059287e8cb96b944440f00101f901541c690000000000c00208,Beranci,21.3165424,41.13328,21.4192694,41.172571
125,51306efeba2e7b354059b3b5be4868954440f00101f901531c690000000000c00208,Dobrushevo,21.4220645,41.1494965,21.5157901,41.1870951
126,5187d569ee325d35405944a33b889d964440f00101f9015e1c690000000000c00208,Dolno Srpci,21.3068247,41.1552318,21.4260179,41.1976763
127,5156fd005aa960354059df49b0dde28d4440f00101f901551c690000000000c00208,Mogila,21.3587523,41.0811909,21.4305235,41.1375999
128,513980d99832753540594479d5b958854440f00101f9015f38630000000000c00208,Novaci,21.433951,41.0273941,21.4997721,41.0618477
129,5156b2086a9da52d4059de454e1542f24640f00103f9016790ea0901000000c002079203075375c5a1696361,Su\u0161ica,14.8034666,45.8726417,14.8434666,45.9126417
130,51914b773293d5344059ee3f321d3a964440f00101f9011fe9620000000000c00208,Kosel,20.8187706,41.1571909,20.8635882,41.1884222
131,5156212fb5ef6f354059839fddc60b004540f00103f90194ec289601000000c002019203054f68726964,Skopje,21.4372014,42.0003094,21.4373014,42.0004094
132,51692f473426e336405952cebcc1bce14440f00101f901b6b1680000000000c00208,Pehchevo,22.8567016,41.6901234,23.034051,41.7894649
133,514d327216f6903740593eb0e3bf40624540c00204e203266f70656e7374726565746d61703a7374726565743a706f6c796c696e653a3130393234353731,Buhovo,23.565388,42.767577,23.567107,42.767698
134,51f69be4a2b59d3540594c4ae6fd24f84440f00101f901221b6a0000000000c00207,Petrovec,21.5890415,41.914697,21.6308436,41.9461812
135,51598f56105e0e3540590848eaf307bb4440f00101f901a10c620000000000c00208,Lisichani,21.0306314,41.437527,21.0871828,41.4757278
136,519171d6f1a91f35405943b577fccdbb4440f00101f9019f08620000000000c00208,Plasnica,21.1026208,41.4315444,21.1886013,41.4908464
137,511f36470cf18035405981ef91280f9b4440f00101f90114e2610000000000c00208,Kanatlarci,21.4676015,41.1753543,21.5453127,41.2473533
138,51e77283a10e41364059c56867e267b44440f00103f901f41d277800000000c0020192030b4d61726b6f762047726164,Koreshnica,22.2540795,41.4093703,22.2541795,41.4094703
139,51490966f1076e354059719cca58239d4440f00101f901601c690000000000c00207,Topolchani,21.409231,41.2061764,21.4640115,41.2478537
140,51179925a6b02d364059a32314b6faff4440f00101f9015be7660000000000c00208,Probishtip,22.1435881,41.975922,22.1939921,42.0208962
141,51ac3b7194173c364059e259828c80fe4440f00101f9019f9a650000000000c00208,Zletovo,22.2070599,41.9705628,22.268815,42.0181504
142,51830fcaa07f83364059a376bf0af0cf4440f00101f901f702690000000000c00208,Oraovica,22.4933481,41.5919897,22.5412242,41.6669852
143,519d1d5f31d98a364059dd4a6540acce4440f00101f9010903690000000000c00208,Podaresh,22.5141091,41.5836219,22.6440668,41.6660115
144,51394ab956d61d3640596079eb5795154540f00101f9010e9a660000000000c00208,Rankovce,22.0874548,42.1574546,22.1367216,42.1935842
