,ID,Name,Lon,Lat,Formatted,Stars,Building,City_ID
30,5124da9fd51381364059a2d7c29e1b924440f00103f9016bc8798a0000000092030cd090d188d0b8d0bad0bed182,Asikot,22.5042089,41.1414679,"Asikot, Gevgeliski Partizanski odred, 1480 Gevgelija, North Macedonia",NR,unknown,51ea72ef86d980364059b241cb5fc6914440f00101f9015a42630000000000c00207
31,512acd9ce4fd80364059f6eb38f00f924440f00103f9011bbd80080100000092030f41706f6c6c6f6e696120486f74656c,Apollonia Hotel,22.5038741,41.1411114,"Apollonia Hotel, Gevgeliski Partizanski odred, 1480 Gevgelija, North Macedonia",NR,unknown,51ea72ef86d980364059b241cb5fc6914440f00101f9015a42630000000000c00207
32,511e4fcb0f5ce93440596cbbb465afe54440f00103f901a3fa04f90000000092030b486f74656c20456c697461,Hotel Elita,20.911561,41.7944152,"Hotel Elita, Boris Kirdich, 123 Gostivar, North Macedonia",NR,unknown,51d1b249d97de83440595d5ac3fb60e54440f00101f901f16f620000000000c00208
33,51837060cd5ce9344059184dc841aee54440f00103f901047c06f900000000920305456c697461,Elita,20.9115723,41.7943804,"Elita, Boris Kirdich, 123 Gostivar, North Macedonia",NR,unknown,51d1b249d97de83440595d5ac3fb60e54440f00101f901f16f620000000000c00208
34,514e2e7c3320e93440599f7f837ae9e54440f00103f9016e02947e00000000920305686f74656c,hotel,20.9106476,41.7961877,"hotel, blv. Goce Delchev, 123 Gostivar, North Macedonia",NR,unknown,51d1b249d97de83440595d5ac3fb60e54440f00101f901f16f620000000000c00208
35,51d4503058538d354059e725deb397ff4440f00102f901d9377e180000000092032dd091d0b5d181d18220d092d0b5d181d182d0b5d180d0bd20d0a5d0bed182d0b5d0bb20d091d0b5d0bbd0b2d0b8,Best Vestern Hotel Belvi,21.552013819221,41.99681215,"Best Western Hotel Bellevue, A202, 1041 Ilinden, North Macedonia",NR,hotel,513ebf396dd793354059dae731ca33ff4440f00101f901c62c6a0000000000c00207
36,51b0b8ee9c1c023640594259b61bd8b84440f00103f9011c7f3d160000000092030446656e69,Feni,22.0082491,41.4440951,"Feni, Severen, 1430 Kavadarci, North Macedonia",NR,unknown,516592ec6c23033640598e80c0b975b74440f00101f901d33a630000000000c00207
37,51b6813b50a70236405914d9b8544ab84440f00103f901d26b731900000000920308556e6950616c6173,UniPalas,22.0103655,41.4397684,"UniPalas, Bulevar Nikola Minchev, 1430 Kavadarci, North Macedonia",NR,unknown,516592ec6c23033640598e80c0b975b74440f00101f901d33a630000000000c00207
38,515552dd126fff354059fda31b5c84b84440f00103f90164196a2e01000000920313d0a3d0bdd0b820d09fd0b0d0bbd0b0d1812032,Uni Palas 2,21.9977886,41.4415393,"Uni Palas 2, Mosha Pijade, 1430 Kavadarci, North Macedonia",NR,unknown,516592ec6c23033640598e80c0b975b74440f00101f901d33a630000000000c00207
39,5107e5c02d51f53440596f103c9a44c14440f00102f90118a5870d00000000920317d0a5d0bed182d0b5d0bb20d09ad0b8d187d0b5d0b2d0be,Hotel Kicevo,20.9582543262509,41.50985065,"Hotel Kicevo, Rudnichka, 6250 Kichevo, North Macedonia",NR,hotel,518735954561f53440591d28a6c123c14440f00101f901613c620000000000c00207
40,519474b08e4bf6344059dd689cf870c24440f00102f9012643b60d0000000092030841726162656c6c6f,Arabello,20.9620904130606,41.5190726,"Arabello, Marsal Tito, 6250 Kichevo, North Macedonia",NR,hotel,518735954561f53440591d28a6c123c14440f00101f901613c620000000000c00207
41,51af7bf2241ff0344059dc7b6db388c14440f00102f901f589690e00000000920319d0a5d0bed182d0b5d0bb20d09ad180d183d188d0b8d0bdd0be,Hotel Krusino,20.9380130252914,41.51188475,"Hotel Krushino, Kicevo - Knezino, 6250 Kichevo, North Macedonia",NR,hotel,518735954561f53440591d28a6c123c14440f00101f901613c620000000000c00207
42,5126135c51efb8354059c80d86b35b114540f00103f901f37909a90000000092030841706172746d616e,Apartman,21.7224017,42.135611,"Apartman, Ivo Lola Ribar, 1300 Kumanovo, North Macedonia",NR,unknown,5133c34659bfb73540593d43ddac66114540f00101f901ad4e680000000000c00207
43,51c40253c6a3bb35405933aa2fc6760f4540f00102f901f68c252a00000000920317d0a5d0bed182d0b5d0bb20d09cd0b8d0bcd0bed0b7d0b0,Hotel Mimoza,21.7329666154499,42.1208172,"Hotel Mimoza, Titova Mitrovacka, 1300 Kumanovo, North Macedonia",NR,hotel,5133c34659bfb73540593d43ddac66114540f00101f901ad4e680000000000c00207
44,515a0e934499bb354059972c7fd1d00f4540f00102f9016bd6061f00000000920311486f74656c2042656c6c6120446f6e6e61,Hotel Bella Donna,21.7328278436973,42.1235586,"Hotel Bella Donna, Branko Bogdanski Gucman, 1300 Kumanovo, North Macedonia",NR,hotel,5133c34659bfb73540593d43ddac66114540f00101f901ad4e680000000000c00207
45,51ad40df8f7bbe354059c6f17794920f4540f00102f901a10a8c380000000092030c4b756d616e6f766f20537061,Kumanovo Spa,21.743966733281,42.1216012,"Kumanovo Spa, Kumanovska Banja, 1300 Kumanovo, North Macedonia",NR,hotel,5133c34659bfb73540593d43ddac66114540f00101f901ad4e680000000000c00207
